instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP,16387.0,72,0.000272900,0.006762
Instances/Instances 1/a280_02.gt,279,100.0,86400.0,PTVRP,15996.0,69,0.000274800,0.006854
Instances/Instances 1/a280_03.gt,279,100.0,86400.0,PTVRP,15828.0,68,0.000275800,0.006011
Instances/Instances 1/a280_04.gt,279,100.0,86400.0,PTVRP,16430.0,71,0.000284300,0.006081
Instances/Instances 1/a280_05.gt,279,100.0,86400.0,PTVRP,16174.0,71,0.000280100,0.006499
Instances/Instances 1/a280_06.gt,279,100.0,86400.0,PTVRP,16174.0,68,0.000268601,0.006887
Instances/Instances 1/a280_07.gt,279,100.0,86400.0,PTVRP,17114.0,75,0.000281300,0.006922
Instances/Instances 1/a280_08.gt,279,100.0,86400.0,PTVRP,16331.0,69,0.000273000,0.006454
Instances/Instances 1/a280_09.gt,279,100.0,86400.0,PTVRP,15846.0,69,0.000276900,0.006542
Instances/Instances 1/a280_10.gt,279,100.0,86400.0,PTVRP,15869.0,64,0.000278300,0.006505
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP,28717346.0,1467,0.002707102,0.015193
Instances/Instances 1/ar9152_02.gt,9151,100.0,86400.0,PTVRP,28610771.0,1450,0.002644203,0.014356
Instances/Instances 1/ar9152_03.gt,9151,100.0,86400.0,PTVRP,28715905.0,1460,0.002632503,0.015686
Instances/Instances 1/ar9152_04.gt,9151,100.0,86400.0,PTVRP,28834320.0,1442,0.002654103,0.014456
Instances/Instances 1/ar9152_05.gt,9151,100.0,86400.0,PTVRP,29179466.0,1455,0.002627802,0.016459
Instances/Instances 1/ar9152_06.gt,9151,100.0,86400.0,PTVRP,29046577.0,1490,0.002663703,0.014
Instances/Instances 1/ar9152_07.gt,9151,100.0,86400.0,PTVRP,28992613.0,1443,0.002858703,0.014329
Instances/Instances 1/ar9152_08.gt,9151,100.0,86400.0,PTVRP,28721995.0,1452,0.002616903,0.014361
Instances/Instances 1/ar9152_09.gt,9151,100.0,86400.0,PTVRP,28835482.0,1476,0.002612403,0.015746
Instances/Instances 1/ar9152_10.gt,9151,100.0,86400.0,PTVRP,28950660.0,1473,0.002626902,0.015008
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP,14644.0,14,0.000013300,0.007219
Instances/Instances 1/berlin52_02.gt,51,100.0,86400.0,PTVRP,15833.0,17,0.000014000,0.00538
Instances/Instances 1/berlin52_03.gt,51,100.0,86400.0,PTVRP,16839.0,17,0.000013700,0.005882
Instances/Instances 1/berlin52_04.gt,51,100.0,86400.0,PTVRP,16777.0,18,0.000013600,0.005611
Instances/Instances 1/berlin52_05.gt,51,100.0,86400.0,PTVRP,17449.0,18,0.000012900,0.005603
Instances/Instances 1/berlin52_06.gt,51,100.0,86400.0,PTVRP,15836.0,15,0.000013700,0.006249
Instances/Instances 1/berlin52_07.gt,51,100.0,86400.0,PTVRP,18006.0,17,0.000013800,0.037693
Instances/Instances 1/berlin52_08.gt,51,100.0,86400.0,PTVRP,14796.0,14,0.000013600,0.01
Instances/Instances 1/berlin52_09.gt,51,100.0,86400.0,PTVRP,16939.0,16,0.000013800,0.010414
Instances/Instances 1/berlin52_10.gt,51,100.0,86400.0,PTVRP,16741.0,17,0.000013700,0.007078
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP,328886.0,35,0.000023000,0.006132
Instances/Instances 1/bier127_02.gt,126,100.0,86400.0,PTVRP,346606.0,41,0.000022600,0.006775
