instance,n,Q,horizon,solver,cost,templates,solve_seconds,solve_seconds_min,solve_seconds_spread,repeats,wall_seconds
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_CONT,16387.0,72,0.000292500,0.000292500,0.0000,1,0.005366
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_CONT,8816.0,36,0.000276100,0.000276100,0.0000,1,0.005508
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,PTVRP_CONT,4897.0,15,0.000248900,0.000248900,0.0000,1,0.005761
Instances/Instances 1/a280_04.gt,279,1000.0,86400.0,PTVRP_CONT,3722.0,9,0.000236300,0.000236300,0.0000,1,0.00624
Instances/Instances 1/a280_05.gt,279,2000.0,86400.0,PTVRP_CONT,3176.0,4,0.000228000,0.000228000,0.0000,1,0.005985
Instances/Instances 1/a280_06.gt,279,5000.0,86400.0,PTVRP_CONT,2855.0,2,0.000221200,0.000221200,0.0000,1,0.005471
Instances/Instances 1/a280_07.gt,279,10000.0,86400.0,PTVRP_CONT,2835.0,1,0.000218000,0.000218000,0.0000,1,0.005526
Instances/Instances 1/a280_08.gt,279,20000.0,86400.0,PTVRP_CONT,2835.0,1,0.000217800,0.000217800,0.0000,1,0.005849
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,PTVRP_CONT,2835.0,1,0.000217800,0.000217800,0.0000,1,0.005153
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_CONT,2835.0,1,0.000217800,0.000217800,0.0000,1,0.005387
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_CONT,28717346.0,1467,0.257182300,0.257182300,0.0000,1,0.267739
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_CONT,14570814.0,978,0.200438700,0.200438700,0.0000,1,0.211766
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_CONT,6223523.0,476,0.197435800,0.197435800,0.0000,1,0.207751
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_CONT,3468503.0,239,0.199668999,0.199668999,0.0000,1,0.210301
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_CONT,2131437.0,123,0.196253200,0.196253200,0.0000,1,0.208645
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_CONT,1329482.0,51,0.205676699,0.205676699,0.0000,1,0.220874
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_CONT,1090437.0,27,0.236456500,0.236456500,0.0000,1,0.251426
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_CONT,986552.0,15,0.254686999,0.254686999,0.0000,1,0.269733
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_CONT,970633.0,13,0.232513499,0.232513499,0.0000,1,0.255699
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_CONT,970633.0,13,0.223013399,0.223013399,0.0000,1,0.238023
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_CONT,14644.0,14,0.000013300,0.000013300,0.0000,1,0.005751
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP_CONT,11269.0,8,0.000011600,0.000011600,0.0000,1,0.005519
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP_CONT,8619.0,4,0.000010100,0.000010100,0.0000,1,0.007214
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,PTVRP_CONT,7852.0,2,0.000009400,0.000009400,0.0000,1,0.005051
Instances/Instances 1/berlin52_05.gt,51,2000.0,86400.0,PTVRP_CONT,7803.0,1,0.000008200,0.000008200,0.0000,1,0.004918
Instances/Instances 1/berlin52_06.gt,51,5000.0,86400.0,PTVRP_CONT,7803.0,1,0.000008500,0.000008500,0.0000,1,0.00538
Instances/Instances 1/berlin52_07.gt,51,10000.0,86400.0,PTVRP_CONT,7803.0,1,0.000008300,0.000008300,0.0000,1,0.005049
Instances/Instances 1/berlin52_08.gt,51,20000.0,86400.0,PTVRP_CONT,7803.0,1,0.000008400,0.000008400,0.0000,1,0.00498
Instances/Instances 1/berlin52_09.gt,51,50000.0,86400.0,PTVRP_CONT,7803.0,1,0.000008400,0.000008400,0.0000,1,0.005196
Instances/Instances 1/berlin52_10.gt,51,100000.0,86400.0,PTVRP_CONT,7803.0,1,0.000008300,0.000008300,0.0000,1,0.004792
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_CONT,328886.0,35,0.000051100,0.000051100,0.0000,1,0.005156
Instances/Instances 1/bier127_02.gt,126,200.0,86400.0,PTVRP_CONT,214093.0,20,0.000048300,0.000048300,0.0000,1,0.005479
Instances/Instances 1/bier127_03.gt,126,500.0,86400.0,PTVRP_CONT,147478.0,8,0.000046300,0.000046300,0.0000,1,0.005096
Instances/Instances 1/bier127_04.gt,126,1000.0,86400.0,PTVRP_CONT,129773.0,4,0.000046300,0.000046300,0.0000,1,0.00584
Instances/Instances 1/bier127_05.gt,126,2000.0,86400.0,PTVRP_CONT,126048.0,2,0.000046000,0.000046000,0.0000,1,0.005614
Instances/Instances 1/bier127_06.gt,126,5000.0,86400.0,PTVRP_CONT,126048.0,2,0.000072000,0.000072000,0.0000,1,0.005753
Instances/Instances 1/bier127_07.gt,126,10000.0,86400.0,PTVRP_CONT,126048.0,2,0.000046200,0.000046200,0.0000,1,0.005804
Instances/Instances 1/bier127_08.gt,126,20000.0,86400.0,PTVRP_CONT,126048.0,2,0.000045700,0.000045700,0.0000,1,0.005733
Instances/Instances 1/bier127_09.gt,126,50000.0,86400.0,PTVRP_CONT,126048.0,2,0.000046400,0.000046400,0.0000,1,0.00714
Instances/Instances 1/bier127_10.gt,126,100000.0,86400.0,PTVRP_CONT,126048.0,2,0.000045800,0.000045800,0.0000,1,0.006844
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,PTVRP_CONT,54311911.0,4710,3.163901085,3.163901085,0.0000,1,3.196642
Instances/Instances 1/bm33708_02.gt,33707,200.0,86400.0,PTVRP_CONT,27566313.0,3312,3.107122986,3.107122986,0.0000,1,3.161623
Instances/Instances 1/bm33708_03.gt,33707,500.0,86400.0,PTVRP_CONT,11486555.0,1721,2.730501834,2.730501834,0.0000,1,2.760887
Instances/Instances 1/bm33708_04.gt,33707,1000.0,86400.0,PTVRP_CONT,6132031.0,878,2.755008376,2.755008376,0.0000,1,2.788276
Instances/Instances 1/bm33708_05.gt,33707,2000.0,86400.0,PTVRP_CONT,3523882.0,437,2.678391402,2.678391402,0.0000,1,2.709021
Instances/Instances 1/bm33708_06.gt,33707,5000.0,86400.0,PTVRP_CONT,1962016.0,178,2.673352102,2.673352102,0.0000,1,2.699538
Instances/Instances 1/bm33708_07.gt,33707,10000.0,86400.0,PTVRP_CONT,1448460.0,90,2.667868401,2.667868401,0.0000,1,2.702058
Instances/Instances 1/bm33708_08.gt,33707,20000.0,86400.0,PTVRP_CONT,1194002.0,47,2.685636801,2.685636801,0.0000,1,2.714891
Instances/Instances 1/bm33708_09.gt,33707,50000.0,86400.0,PTVRP_CONT,1051830.0,20,2.720645316,2.720645316,0.0000,1,2.758081
Instances/Instances 1/bm33708_10.gt,33707,100000.0,86400.0,PTVRP_CONT,1025973.0,15,2.731950220,2.731950220,0.0000,1,2.76302
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP_CONT,16950869.0,2180,0.465144804,0.465144804,0.0000,1,0.483259
Instances/Instances 1/brd14051_02.gt,14050,200.0,86400.0,PTVRP_CONT,8596446.0,1486,0.488403904,0.488403904,0.0000,1,0.508546
Instances/Instances 1/brd14051_03.gt,14050,500.0,86400.0,PTVRP_CONT,3646827.0,737,0.461075503,0.461075503,0.0000,1,0.481432
Instances/Instances 1/brd14051_04.gt,14050,1000.0,86400.0,PTVRP_CONT,2040540.0,368,0.467994404,0.467994404,0.0000,1,0.485475
Instances/Instances 1/brd14051_05.gt,14050,2000.0,86400.0,PTVRP_CONT,1236617.0,184,0.469907104,0.469907104,0.0000,1,0.486035
Instances/Instances 1/brd14051_06.gt,14050,5000.0,86400.0,PTVRP_CONT,768899.0,76,0.472048803,0.472048803,0.0000,1,0.491104
Instances/Instances 1/brd14051_07.gt,14050,10000.0,86400.0,PTVRP_CONT,613871.0,40,0.468832808,0.468832808,0.0000,1,0.487846
Instances/Instances 1/brd14051_08.gt,14050,20000.0,86400.0,PTVRP_CONT,535568.0,20,0.471677613,0.471677613,0.0000,1,0.488788
Instances/Instances 1/brd14051_09.gt,14050,50000.0,86400.0,PTVRP_CONT,494413.0,9,0.483032214,0.483032214,0.0000,1,0.503915
Instances/Instances 1/brd14051_10.gt,14050,100000.0,86400.0,PTVRP_CONT,487545.0,7,0.486200514,0.486200514,0.0000,1,0.505431
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_CONT,NO SOLUTION,,0.050280901,0.050280901,0.0000,1,0.062423
Instances/Instances 1/ca4663_02.gt,4662,200.0,86400.0,PTVRP_CONT,NO SOLUTION,,0.050028301,0.050028301,0.0000,1,0.062294
Instances/Instances 1/ca4663_03.gt,4662,500.0,86400.0,PTVRP_CONT,NO SOLUTION,,0.050457002,0.050457002,0.0000,1,0.062107
Instances/Instances 1/ca4663_04.gt,4662,1000.0,86400.0,PTVRP_CONT,NO SOLUTION,,0.050107002,0.050107002,0.0000,1,0.062726
Instances/Instances 1/ca4663_05.gt,4662,2000.0,86400.0,PTVRP_CONT,NO SOLUTION,,0.050614501,0.050614501,0.0000,1,0.060528
Instances/Instances 1/ca4663_06.gt,4662,5000.0,86400.0,PTVRP_CONT,NO SOLUTION,,0.050659201,0.050659201,0.0000,1,0.064831
Instances/Instances 1/ca4663_07.gt,4662,10000.0,86400.0,PTVRP_CONT,NO SOLUTION,,0.050760001,0.050760001,0.0000,1,0.064162
Instances/Instances 1/ca4663_08.gt,4662,20000.0,86400.0,PTVRP_CONT,NO SOLUTION,,0.050930501,0.050930501,0.0000,1,0.063308
Instances/Instances 1/ca4663_09.gt,4662,50000.0,86400.0,PTVRP_CONT,NO SOLUTION,,0.050925302,0.050925302,0.0000,1,0.064471
Instances/Instances 1/ca4663_10.gt,4662,100000.0,86400.0,PTVRP_CONT,NO SOLUTION,,0.050821102,0.050821102,0.0000,1,0.064099
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_CONT,23377.0,36,0.000069100,0.000069100,0.0000,1,0.009919
Instances/Instances 1/ch130_02.gt,129,200.0,86400.0,PTVRP_CONT,14025.0,20,0.000066200,0.000066200,0.0000,1,0.010053
Instances/Instances 1/ch130_03.gt,129,500.0,86400.0,PTVRP_CONT,9031.0,8,0.000054300,0.000054300,0.0000,1,0.008915
Instances/Instances 1/ch130_04.gt,129,1000.0,86400.0,PTVRP_CONT,7424.0,5,0.000067500,0.000067500,0.0000,1,0.008713
Instances/Instances 1/ch130_05.gt,129,2000.0,86400.0,PTVRP_CONT,6533.0,2,0.000063100,0.000063100,0.0000,1,0.007213
Instances/Instances 1/ch130_06.gt,129,5000.0,86400.0,PTVRP_CONT,6291.0,1,0.000047800,0.000047800,0.0000,1,0.007018
Instances/Instances 1/ch130_07.gt,129,10000.0,86400.0,PTVRP_CONT,6291.0,1,0.000048000,0.000048000,0.0000,1,0.005719
Instances/Instances 1/ch130_08.gt,129,20000.0,86400.0,PTVRP_CONT,6291.0,1,0.000047700,0.000047700,0.0000,1,0.005728
Instances/Instances 1/ch130_09.gt,129,50000.0,86400.0,PTVRP_CONT,6291.0,1,0.000047900,0.000047900,0.0000,1,0.005121
Instances/Instances 1/ch130_10.gt,129,100000.0,86400.0,PTVRP_CONT,6291.0,1,0.000047600,0.000047600,0.0000,1,0.005585
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP_CONT,28985.0,44,0.000089700,0.000089700,0.0000,1,0.005431
Instances/Instances 1/ch150_02.gt,149,200.0,86400.0,PTVRP_CONT,15615.0,21,0.000082500,0.000082500,0.0000,1,0.005211
Instances/Instances 1/ch150_03.gt,149,500.0,86400.0,PTVRP_CONT,9611.0,9,0.000072900,0.000072900,0.0000,1,0.005304
