instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16387.0,72,0.000290300,0.006663
Instances/Instances 1/a280_02.gt,279,100.0,86400.0,PTVRP_CONT_FIX,15996.0,69,0.000291000,0.007932
Instances/Instances 1/a280_03.gt,279,100.0,86400.0,PTVRP_CONT_FIX,15828.0,68,0.000294200,0.008137
Instances/Instances 1/a280_04.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16430.0,71,0.000291200,0.006893
Instances/Instances 1/a280_05.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16174.0,71,0.000288300,0.006446
Instances/Instances 1/a280_06.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16174.0,68,0.000285300,0.009514
Instances/Instances 1/a280_07.gt,279,100.0,86400.0,PTVRP_CONT_FIX,17114.0,75,0.000293400,0.006956
Instances/Instances 1/a280_08.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16331.0,69,0.000290700,0.006408
Instances/Instances 1/a280_09.gt,279,100.0,86400.0,PTVRP_CONT_FIX,15846.0,69,0.000286500,0.005289
Instances/Instances 1/a280_10.gt,279,100.0,86400.0,PTVRP_CONT_FIX,15869.0,64,0.000292700,0.00752
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28717346.0,1467,0.003536801,0.01734
Instances/Instances 1/ar9152_02.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28610771.0,1450,0.003484500,0.01606
Instances/Instances 1/ar9152_03.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28715905.0,1460,0.003493901,0.01909
Instances/Instances 1/ar9152_04.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28834320.0,1442,0.003499300,0.02111
Instances/Instances 1/ar9152_05.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,29179466.0,1455,0.003505900,0.020516
Instances/Instances 1/ar9152_06.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,29046577.0,1490,0.003518800,0.018191
Instances/Instances 1/ar9152_07.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28992613.0,1443,0.003478300,0.018412
Instances/Instances 1/ar9152_08.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28721995.0,1452,0.003499400,0.018798
Instances/Instances 1/ar9152_09.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28835482.0,1476,0.003522600,0.019119
Instances/Instances 1/ar9152_10.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28950660.0,1473,0.003496400,0.019416
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_CONT_FIX,14644.0,14,0.000013300,0.009386
Instances/Instances 1/berlin52_02.gt,51,100.0,86400.0,PTVRP_CONT_FIX,15833.0,17,0.000014300,0.007845
Instances/Instances 1/berlin52_03.gt,51,100.0,86400.0,PTVRP_CONT_FIX,16839.0,17,0.000013600,0.007988
Instances/Instances 1/berlin52_04.gt,51,100.0,86400.0,PTVRP_CONT_FIX,16777.0,18,0.000015500,0.006748
Instances/Instances 1/berlin52_05.gt,51,100.0,86400.0,PTVRP_CONT_FIX,17449.0,18,0.000013400,0.007585
Instances/Instances 1/berlin52_06.gt,51,100.0,86400.0,PTVRP_CONT_FIX,15836.0,15,0.000013500,0.007103
Instances/Instances 1/berlin52_07.gt,51,100.0,86400.0,PTVRP_CONT_FIX,18006.0,17,0.000014500,0.007942
Instances/Instances 1/berlin52_08.gt,51,100.0,86400.0,PTVRP_CONT_FIX,14796.0,14,0.000014100,0.007705
Instances/Instances 1/berlin52_09.gt,51,100.0,86400.0,PTVRP_CONT_FIX,16939.0,16,0.000014500,0.00679
Instances/Instances 1/berlin52_10.gt,51,100.0,86400.0,PTVRP_CONT_FIX,16741.0,17,0.000014800,0.006119
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_CONT_FIX,328886.0,35,0.000025400,0.006044
Instances/Instances 1/bier127_02.gt,126,100.0,86400.0,PTVRP_CONT_FIX,346606.0,41,0.000025900,0.006799
