instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED,16387.0,72,0.000286700,0.007371
Instances/Instances 1/a280_02.gt,279,100.0,86400.0,PTVRP_LAYERED,15996.0,69,0.000265500,0.007462
Instances/Instances 1/a280_03.gt,279,100.0,86400.0,PTVRP_LAYERED,15828.0,68,0.000272500,0.00701
Instances/Instances 1/a280_04.gt,279,100.0,86400.0,PTVRP_LAYERED,16430.0,73,0.000284200,0.042032
Instances/Instances 1/a280_05.gt,279,100.0,86400.0,PTVRP_LAYERED,16174.0,71,0.000278000,0.008855
Instances/Instances 1/a280_06.gt,279,100.0,86400.0,PTVRP_LAYERED,16174.0,68,0.000289600,0.008394
Instances/Instances 1/a280_07.gt,279,100.0,86400.0,PTVRP_LAYERED,17114.0,73,0.000283700,0.007771
Instances/Instances 1/a280_08.gt,279,100.0,86400.0,PTVRP_LAYERED,16331.0,69,0.000273800,0.006395
Instances/Instances 1/a280_09.gt,279,100.0,86400.0,PTVRP_LAYERED,15846.0,69,0.000274200,0.006207
Instances/Instances 1/a280_10.gt,279,100.0,86400.0,PTVRP_LAYERED,15869.0,64,0.000271500,0.005544
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED,28717346.0,1467,0.003241400,0.016217
Instances/Instances 1/ar9152_02.gt,9151,100.0,86400.0,PTVRP_LAYERED,28610771.0,1450,0.003209200,0.016825
Instances/Instances 1/ar9152_03.gt,9151,100.0,86400.0,PTVRP_LAYERED,28715905.0,1460,0.003214700,0.019169
Instances/Instances 1/ar9152_04.gt,9151,100.0,86400.0,PTVRP_LAYERED,28834320.0,1442,0.003195900,0.017462
Instances/Instances 1/ar9152_05.gt,9151,100.0,86400.0,PTVRP_LAYERED,29179466.0,1456,0.003233500,0.018596
Instances/Instances 1/ar9152_06.gt,9151,100.0,86400.0,PTVRP_LAYERED,29046577.0,1490,0.003230300,0.020055
Instances/Instances 1/ar9152_07.gt,9151,100.0,86400.0,PTVRP_LAYERED,28992613.0,1443,0.003423299,0.019452
Instances/Instances 1/ar9152_08.gt,9151,100.0,86400.0,PTVRP_LAYERED,28721995.0,1452,0.003241499,0.016497
Instances/Instances 1/ar9152_09.gt,9151,100.0,86400.0,PTVRP_LAYERED,28835482.0,1476,0.003223800,0.019002
Instances/Instances 1/ar9152_10.gt,9151,100.0,86400.0,PTVRP_LAYERED,28950660.0,1473,0.003222800,0.017297
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED,14644.0,14,0.000016200,0.00869
Instances/Instances 1/berlin52_02.gt,51,100.0,86400.0,PTVRP_LAYERED,15833.0,17,0.000017900,0.006844
Instances/Instances 1/berlin52_03.gt,51,100.0,86400.0,PTVRP_LAYERED,16839.0,17,0.000018400,0.005485
Instances/Instances 1/berlin52_04.gt,51,100.0,86400.0,PTVRP_LAYERED,16777.0,18,0.000017800,0.005711
Instances/Instances 1/berlin52_05.gt,51,100.0,86400.0,PTVRP_LAYERED,17449.0,18,0.000018500,0.005615
Instances/Instances 1/berlin52_06.gt,51,100.0,86400.0,PTVRP_LAYERED,15836.0,15,0.000016800,0.005113
Instances/Instances 1/berlin52_07.gt,51,100.0,86400.0,PTVRP_LAYERED,18006.0,17,0.000018600,0.006232
Instances/Instances 1/berlin52_08.gt,51,100.0,86400.0,PTVRP_LAYERED,14796.0,14,0.000017600,0.006828
Instances/Instances 1/berlin52_09.gt,51,100.0,86400.0,PTVRP_LAYERED,16939.0,16,0.000018000,0.006445
Instances/Instances 1/berlin52_10.gt,51,100.0,86400.0,PTVRP_LAYERED,16741.0,17,0.000017500,0.005358
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_LAYERED,328886.0,35,0.000029200,0.00571
Instances/Instances 1/bier127_02.gt,126,100.0,86400.0,PTVRP_LAYERED,346606.0,41,0.000031200,0.005737
Instances/Instances 1/bier127_03.gt,126,100.0,86400.0,PTVRP_LAYERED,325803.0,38,0.000030500,0.005837
Instances/Instances 1/bier127_04.gt,126,100.0,86400.0,PTVRP_LAYERED,338897.0,34,0.000029500,0.005268
Instances/Instances 1/bier127_05.gt,126,100.0,86400.0,PTVRP_LAYERED,328505.0,38,0.000030600,0.005922
Instances/Instances 1/bier127_06.gt,126,100.0,86400.0,PTVRP_LAYERED,327452.0,38,0.000030500,0.004828
Instances/Instances 1/bier127_07.gt,126,100.0,86400.0,PTVRP_LAYERED,325803.0,37,0.000031200,0.00565
Instances/Instances 1/bier127_08.gt,126,100.0,86400.0,PTVRP_LAYERED,316399.0,36,0.000030100,0.005046
Instances/Instances 1/bier127_09.gt,126,100.0,86400.0,PTVRP_LAYERED,333390.0,38,0.000031000,0.006584
Instances/Instances 1/bier127_10.gt,126,100.0,86400.0,PTVRP_LAYERED,301119.0,34,0.000030000,0.005662
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,PTVRP_LAYERED,54311911.0,4710,0.020363899,0.053516
Instances/Instances 1/bm33708_02.gt,33707,100.0,86400.0,PTVRP_LAYERED,54271357.0,4634,0.020633798,0.050695
Instances/Instances 1/bm33708_03.gt,33707,100.0,86400.0,PTVRP_LAYERED,54459415.0,4689,0.020180399,0.059543
Instances/Instances 1/bm33708_04.gt,33707,100.0,86400.0,PTVRP_LAYERED,54391979.0,4686,0.019938299,0.054103
Instances/Instances 1/bm33708_05.gt,33707,100.0,86400.0,PTVRP_LAYERED,54489688.0,4652,0.021069399,0.0676
Instances/Instances 1/bm33708_06.gt,33707,100.0,86400.0,PTVRP_LAYERED,54289141.0,4622,0.020443599,0.052298
Instances/Instances 1/bm33708_07.gt,33707,100.0,86400.0,PTVRP_LAYERED,54596226.0,4584,0.019927999,0.053812
Instances/Instances 1/bm33708_08.gt,33707,100.0,86400.0,PTVRP_LAYERED,54466943.0,4601,0.019980599,0.051685
Instances/Instances 1/bm33708_09.gt,33707,100.0,86400.0,PTVRP_LAYERED,54295177.0,4554,0.019822499,0.050237
