instance,n,Q,horizon,solver,cost,templates,solve_seconds,solve_seconds_min,solve_seconds_spread,repeats,wall_seconds
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED_CONT,16387.0,72,0.000331700,0.000331700,0.0000,1,0.008614
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_LAYERED_CONT,8816.0,36,0.000167000,0.000167000,0.0000,1,0.006879
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,PTVRP_LAYERED_CONT,4897.0,15,0.000076900,0.000076900,0.0000,1,0.006657
Instances/Instances 1/a280_04.gt,279,1000.0,86400.0,PTVRP_LAYERED_CONT,3722.0,9,0.000046000,0.000046000,0.0000,1,0.006098
Instances/Instances 1/a280_05.gt,279,2000.0,86400.0,PTVRP_LAYERED_CONT,3176.0,4,0.000025900,0.000025900,0.0000,1,0.005874
Instances/Instances 1/a280_06.gt,279,5000.0,86400.0,PTVRP_LAYERED_CONT,2855.0,2,0.000013100,0.000013100,0.0000,1,0.00577
Instances/Instances 1/a280_07.gt,279,10000.0,86400.0,PTVRP_LAYERED_CONT,2835.0,1,0.000009200,0.000009200,0.0000,1,0.005784
Instances/Instances 1/a280_08.gt,279,20000.0,86400.0,PTVRP_LAYERED_CONT,2835.0,1,0.000009300,0.000009300,0.0000,1,0.006291
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,PTVRP_LAYERED_CONT,2835.0,1,0.000009200,0.000009200,0.0000,1,0.006219
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_LAYERED_CONT,2835.0,1,0.000009600,0.000009600,0.0000,1,0.00628
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED_CONT,28717346.0,1467,0.370127903,0.370127903,0.0000,1,0.38111
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_LAYERED_CONT,14570814.0,978,0.193431701,0.193431701,0.0000,1,0.209027
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_LAYERED_CONT,6223523.0,476,0.079437401,0.079437401,0.0000,1,0.093039
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_LAYERED_CONT,3468503.0,239,0.039824200,0.039824200,0.0000,1,0.05476
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_LAYERED_CONT,2131437.0,123,0.020763800,0.020763800,0.0000,1,0.035783
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_LAYERED_CONT,1329482.0,51,0.008415200,0.008415200,0.0000,1,0.024547
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_LAYERED_CONT,1090437.0,27,0.004763300,0.004763300,0.0000,1,0.021356
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_LAYERED_CONT,986552.0,15,0.002744901,0.002744901,0.0000,1,0.016487
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_LAYERED_CONT,970633.0,13,0.002200400,0.002200400,0.0000,1,0.015839
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_LAYERED_CONT,970633.0,13,0.002877800,0.002877800,0.0000,1,0.017806
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED_CONT,14644.0,14,0.000016300,0.000016300,0.0000,1,0.007845
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP_LAYERED_CONT,11269.0,8,0.000011000,0.000011000,0.0000,1,0.006826
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP_LAYERED_CONT,8619.0,4,0.000005500,0.000005500,0.0000,1,0.007571
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,PTVRP_LAYERED_CONT,7852.0,2,0.000004100,0.000004100,0.0000,1,0.007201
Instances/Instances 1/berlin52_05.gt,51,2000.0,86400.0,PTVRP_LAYERED_CONT,7803.0,1,0.000003400,0.000003400,0.0000,1,0.00773
Instances/Instances 1/berlin52_06.gt,51,5000.0,86400.0,PTVRP_LAYERED_CONT,7803.0,1,0.000002600,0.000002600,0.0000,1,0.007308
Instances/Instances 1/berlin52_07.gt,51,10000.0,86400.0,PTVRP_LAYERED_CONT,7803.0,1,0.000002600,0.000002600,0.0000,1,0.005622
Instances/Instances 1/berlin52_08.gt,51,20000.0,86400.0,PTVRP_LAYERED_CONT,7803.0,1,0.000002700,0.000002700,0.0000,1,0.00578
Instances/Instances 1/berlin52_09.gt,51,50000.0,86400.0,PTVRP_LAYERED_CONT,7803.0,1,0.000002900,0.000002900,0.0000,1,0.006779
Instances/Instances 1/berlin52_10.gt,51,100000.0,86400.0,PTVRP_LAYERED_CONT,7803.0,1,0.000002800,0.000002800,0.0000,1,0.006074
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_LAYERED_CONT,328886.0,35,0.000081100,0.000081100,0.0000,1,0.005429
Instances/Instances 1/bier127_02.gt,126,200.0,86400.0,PTVRP_LAYERED_CONT,214093.0,20,0.000051200,0.000051200,0.0000,1,0.006006
Instances/Instances 1/bier127_03.gt,126,500.0,86400.0,PTVRP_LAYERED_CONT,147478.0,8,0.000023000,0.000023000,0.0000,1,0.005579
Instances/Instances 1/bier127_04.gt,126,1000.0,86400.0,PTVRP_LAYERED_CONT,129773.0,4,0.000013500,0.000013500,0.0000,1,0.005501
Instances/Instances 1/bier127_05.gt,126,2000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,0.000010000,0.000010000,0.0000,1,0.005669
Instances/Instances 1/bier127_06.gt,126,5000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,0.000006900,0.000006900,0.0000,1,0.00606
Instances/Instances 1/bier127_07.gt,126,10000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,0.000006900,0.000006900,0.0000,1,0.005202
Instances/Instances 1/bier127_08.gt,126,20000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,0.000006800,0.000006800,0.0000,1,0.006363
Instances/Instances 1/bier127_09.gt,126,50000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,0.000006800,0.000006800,0.0000,1,0.004797
Instances/Instances 1/bier127_10.gt,126,100000.0,86400.0,PTVRP_LAYERED_CONT,126048.0,2,0.000006900,0.000006900,0.0000,1,0.005228
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,PTVRP_LAYERED_CONT,54311911.0,4710,3.945774224,3.945774224,0.0000,1,3.97691
Instances/Instances 1/bm33708_02.gt,33707,200.0,86400.0,PTVRP_LAYERED_CONT,27566313.0,3312,1.999138212,1.999138212,0.0000,1,2.034622
Instances/Instances 1/bm33708_03.gt,33707,500.0,86400.0,PTVRP_LAYERED_CONT,11486555.0,1720,0.836173404,0.836173404,0.0000,1,0.874183
Instances/Instances 1/bm33708_04.gt,33707,1000.0,86400.0,PTVRP_LAYERED_CONT,6132031.0,878,0.432787801,0.432787801,0.0000,1,0.465243
Instances/Instances 1/bm33708_05.gt,33707,2000.0,86400.0,PTVRP_LAYERED_CONT,3523882.0,437,0.231239201,0.231239201,0.0000,1,0.270747
Instances/Instances 1/bm33708_06.gt,33707,5000.0,86400.0,PTVRP_LAYERED_CONT,1962016.0,178,0.089224400,0.089224400,0.0000,1,0.121049
Instances/Instances 1/bm33708_07.gt,33707,10000.0,86400.0,PTVRP_LAYERED_CONT,1448460.0,90,0.048046400,0.048046400,0.0000,1,0.08069
Instances/Instances 1/bm33708_08.gt,33707,20000.0,86400.0,PTVRP_LAYERED_CONT,1194002.0,47,0.025102101,0.025102101,0.0000,1,0.059563
Instances/Instances 1/bm33708_09.gt,33707,50000.0,86400.0,PTVRP_LAYERED_CONT,1051830.0,20,0.011568600,0.011568600,0.0000,1,0.044702
Instances/Instances 1/bm33708_10.gt,33707,100000.0,86400.0,PTVRP_LAYERED_CONT,1025973.0,15,0.009270800,0.009270800,0.0000,1,0.040032
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP_LAYERED_CONT,16950869.0,2180,0.821583103,0.821583103,0.0000,1,0.838007
Instances/Instances 1/brd14051_02.gt,14050,200.0,86400.0,PTVRP_LAYERED_CONT,8596446.0,1486,0.492463602,0.492463602,0.0000,1,0.505955
Instances/Instances 1/brd14051_03.gt,14050,500.0,86400.0,PTVRP_LAYERED_CONT,3646827.0,737,0.214667501,0.214667501,0.0000,1,0.227771
Instances/Instances 1/brd14051_04.gt,14050,1000.0,86400.0,PTVRP_LAYERED_CONT,2040540.0,368,0.116336201,0.116336201,0.0000,1,0.130032
Instances/Instances 1/brd14051_05.gt,14050,2000.0,86400.0,PTVRP_LAYERED_CONT,1236617.0,184,0.051271500,0.051271500,0.0000,1,0.063777
Instances/Instances 1/brd14051_06.gt,14050,5000.0,86400.0,PTVRP_LAYERED_CONT,768899.0,76,0.022796200,0.022796200,0.0000,1,0.035513
Instances/Instances 1/brd14051_07.gt,14050,10000.0,86400.0,PTVRP_LAYERED_CONT,613871.0,40,0.013904200,0.013904200,0.0000,1,0.027193
Instances/Instances 1/brd14051_08.gt,14050,20000.0,86400.0,PTVRP_LAYERED_CONT,535568.0,20,0.005008000,0.005008000,0.0000,1,0.018402
Instances/Instances 1/brd14051_09.gt,14050,50000.0,86400.0,PTVRP_LAYERED_CONT,494413.0,9,0.002467300,0.002467300,0.0000,1,0.014784
Instances/Instances 1/brd14051_10.gt,14050,100000.0,86400.0,PTVRP_LAYERED_CONT,487545.0,7,0.002384600,0.002384600,0.0000,1,0.014707
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.108593000,0.108593000,0.0000,1,0.118521
Instances/Instances 1/ca4663_02.gt,4662,200.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.061941600,0.061941600,0.0000,1,0.069577
Instances/Instances 1/ca4663_03.gt,4662,500.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.027436000,0.027436000,0.0000,1,0.039911
Instances/Instances 1/ca4663_04.gt,4662,1000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.009832000,0.009832000,0.0000,1,0.017572
Instances/Instances 1/ca4663_05.gt,4662,2000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.005174300,0.005174300,0.0000,1,0.012789
Instances/Instances 1/ca4663_06.gt,4662,5000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.002424900,0.002424900,0.0000,1,0.009918
Instances/Instances 1/ca4663_07.gt,4662,10000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.001781100,0.001781100,0.0000,1,0.009352
Instances/Instances 1/ca4663_08.gt,4662,20000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.001832900,0.001832900,0.0000,1,0.009422
Instances/Instances 1/ca4663_09.gt,4662,50000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.003080800,0.003080800,0.0000,1,0.010524
Instances/Instances 1/ca4663_10.gt,4662,100000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.004372900,0.004372900,0.0000,1,0.012078
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_LAYERED_CONT,23377.0,36,0.000087700,0.000087700,0.0000,1,0.004923
Instances/Instances 1/ch130_02.gt,129,200.0,86400.0,PTVRP_LAYERED_CONT,14025.0,20,0.000046800,0.000046800,0.0000,1,0.004969
Instances/Instances 1/ch130_03.gt,129,500.0,86400.0,PTVRP_LAYERED_CONT,9031.0,8,0.000023300,0.000023300,0.0000,1,0.004808
Instances/Instances 1/ch130_04.gt,129,1000.0,86400.0,PTVRP_LAYERED_CONT,7424.0,5,0.000014800,0.000014800,0.0000,1,0.004741
Instances/Instances 1/ch130_05.gt,129,2000.0,86400.0,PTVRP_LAYERED_CONT,6533.0,2,0.000008800,0.000008800,0.0000,1,0.004895
Instances/Instances 1/ch130_06.gt,129,5000.0,86400.0,PTVRP_LAYERED_CONT,6291.0,1,0.000005400,0.000005400,0.0000,1,0.004827
Instances/Instances 1/ch130_07.gt,129,10000.0,86400.0,PTVRP_LAYERED_CONT,6291.0,1,0.000005600,0.000005600,0.0000,1,0.00479
Instances/Instances 1/ch130_08.gt,129,20000.0,86400.0,PTVRP_LAYERED_CONT,6291.0,1,0.000005800,0.000005800,0.0000,1,0.004844
Instances/Instances 1/ch130_09.gt,129,50000.0,86400.0,PTVRP_LAYERED_CONT,6291.0,1,0.000005900,0.000005900,0.0000,1,0.004856
Instances/Instances 1/ch130_10.gt,129,100000.0,86400.0,PTVRP_LAYERED_CONT,6291.0,1,0.000005800,0.000005800,0.0000,1,0.004728
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP_LAYERED_CONT,28985.0,44,0.000116900,0.000116900,0.0000,1,0.004871
Instances/Instances 1/ch150_02.gt,149,200.0,86400.0,PTVRP_LAYERED_CONT,15615.0,21,0.000058000,0.000058000,0.0000,1,0.004855
Instances/Instances 1/ch150_03.gt,149,500.0,86400.0,PTVRP_LAYERED_CONT,9611.0,9,0.000028600,0.000028600,0.0000,1,0.004757
Instances/Instances 1/ch150_04.gt,149,1000.0,86400.0,PTVRP_LAYERED_CONT,8060.0,5,0.000017200,0.000017200,0.0000,1,0.004981
Instances/Instances 1/ch150_05.gt,149,2000.0,86400.0,PTVRP_LAYERED_CONT,7467.0,3,0.000010400,0.000010400,0.0000,1,0.004803
