instance,n,Q,horizon,solver,cost,templates,solve_seconds,solve_seconds_min,solve_seconds_spread,repeats,wall_seconds
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,16387.0,72,0.000314100,0.000314100,0.0000,1,0.006296
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,8816.0,36,0.000171700,0.000171700,0.0000,1,0.007367
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,4897.0,15,0.000083000,0.000083000,0.0000,1,0.006574
Instances/Instances 1/a280_04.gt,279,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,3722.0,9,0.000049400,0.000049400,0.0000,1,0.006233
Instances/Instances 1/a280_05.gt,279,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,3176.0,4,0.000029200,0.000029200,0.0000,1,0.006753
Instances/Instances 1/a280_06.gt,279,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2855.0,2,0.000015500,0.000015500,0.0000,1,0.00575
Instances/Instances 1/a280_07.gt,279,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2835.0,1,0.000011400,0.000011400,0.0000,1,0.006304
Instances/Instances 1/a280_08.gt,279,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2835.0,1,0.000011300,0.000011300,0.0000,1,0.00509
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2835.0,1,0.000011400,0.000011400,0.0000,1,0.005634
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2835.0,1,0.000011200,0.000011200,0.0000,1,0.006613
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,28717346.0,1467,0.005200000,0.005200000,0.0000,1,0.01781
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,14570814.0,978,0.004371400,0.004371400,0.0000,1,0.018562
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,6223523.0,476,0.003274101,0.003274101,0.0000,1,0.019312
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,3468503.0,239,0.002575500,0.002575500,0.0000,1,0.018142
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2131437.0,123,0.002001400,0.002001400,0.0000,1,0.017586
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1329482.0,51,0.001340400,0.001340400,0.0000,1,0.015377
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1090437.0,27,0.001087800,0.001087800,0.0000,1,0.014586
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,986552.0,15,0.000724100,0.000724100,0.0000,1,0.013347
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,970633.0,13,0.000775900,0.000775900,0.0000,1,0.012654
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,970633.0,13,0.000759200,0.000759200,0.0000,1,0.014138
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,14644.0,14,0.000017000,0.000017000,0.0000,1,0.006059
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,11269.0,8,0.000012800,0.000012800,0.0000,1,0.005502
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,8619.0,4,0.000006100,0.000006100,0.0000,1,0.005581
