instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16387.0,72,0.000318000,0.008367
Instances/Instances 1/a280_02.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,15996.0,69,0.000302600,0.006259
Instances/Instances 1/a280_03.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,15828.0,68,0.000306200,0.007739
Instances/Instances 1/a280_04.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16430.0,73,0.000317100,0.005871
Instances/Instances 1/a280_05.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16174.0,71,0.000311100,0.007143
Instances/Instances 1/a280_06.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16174.0,68,0.000308200,0.008343
Instances/Instances 1/a280_07.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,17114.0,73,0.000325500,0.007572
Instances/Instances 1/a280_08.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16331.0,69,0.000313600,0.006842
Instances/Instances 1/a280_09.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,15846.0,69,0.000313600,0.006216
Instances/Instances 1/a280_10.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,15869.0,64,0.000319900,0.007884
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28717346.0,1467,0.005263900,0.017422
Instances/Instances 1/ar9152_02.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28610771.0,1450,0.005218400,0.022077
Instances/Instances 1/ar9152_03.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28715905.0,1460,0.005272300,0.01949
Instances/Instances 1/ar9152_04.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28834320.0,1442,0.005239300,0.020749
Instances/Instances 1/ar9152_05.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,29179466.0,1456,0.005188100,0.02213
Instances/Instances 1/ar9152_06.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,29046577.0,1490,0.005305200,0.022235
Instances/Instances 1/ar9152_07.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28992613.0,1443,0.005296200,0.020439
Instances/Instances 1/ar9152_08.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28721995.0,1452,0.005293900,0.020267
Instances/Instances 1/ar9152_09.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28835482.0,1476,0.005273300,0.021143
Instances/Instances 1/ar9152_10.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28950660.0,1473,0.005245300,0.020527
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,14644.0,14,0.000019500,0.009823
Instances/Instances 1/berlin52_02.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,15833.0,17,0.000020700,0.008343
Instances/Instances 1/berlin52_03.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,16839.0,17,0.000020100,0.006132
Instances/Instances 1/berlin52_04.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,16777.0,18,0.000021200,0.008214
Instances/Instances 1/berlin52_05.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,17449.0,18,0.000025900,0.006274
Instances/Instances 1/berlin52_06.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,15836.0,15,0.000019000,0.005744
Instances/Instances 1/berlin52_07.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,18006.0,17,0.000020600,0.005747
Instances/Instances 1/berlin52_08.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,14796.0,14,0.000018900,0.005734
Instances/Instances 1/berlin52_09.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,16939.0,16,0.000020600,0.006337
Instances/Instances 1/berlin52_10.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,16741.0,17,0.000019300,0.005619
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,328886.0,35,0.000036200,0.005855
Instances/Instances 1/bier127_02.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,346606.0,41,0.000036700,0.006352
Instances/Instances 1/bier127_03.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,325803.0,38,0.000037400,0.005375
Instances/Instances 1/bier127_04.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,338897.0,34,0.000037700,0.006686
Instances/Instances 1/bier127_05.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,328505.0,38,0.000036300,0.004817
Instances/Instances 1/bier127_06.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,327452.0,38,0.000037100,0.005364
Instances/Instances 1/bier127_07.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,325803.0,37,0.000060300,0.007233
Instances/Instances 1/bier127_08.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,316399.0,36,0.000040400,0.006616
Instances/Instances 1/bier127_09.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,333390.0,38,0.000040200,0.007275
Instances/Instances 1/bier127_10.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,301119.0,34,0.000035000,0.005697
