instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LINEAR,114076.0,2,0.000009300,0.007463
Instances/Instances 1/a280_02.gt,279,100.0,86400.0,PTVRP_LINEAR,109227.0,2,0.000009000,0.009313
Instances/Instances 1/a280_03.gt,279,100.0,86400.0,PTVRP_LINEAR,110045.0,2,0.000008100,0.008156
Instances/Instances 1/a280_04.gt,279,100.0,86400.0,PTVRP_LINEAR,113084.0,2,0.000010700,0.008043
Instances/Instances 1/a280_05.gt,279,100.0,86400.0,PTVRP_LINEAR,111826.0,2,0.000009000,0.007268
Instances/Instances 1/a280_06.gt,279,100.0,86400.0,PTVRP_LINEAR,111233.0,2,0.000009400,0.006275
Instances/Instances 1/a280_07.gt,279,100.0,86400.0,PTVRP_LINEAR,117517.0,2,0.000008600,0.00727
Instances/Instances 1/a280_08.gt,279,100.0,86400.0,PTVRP_LINEAR,113266.0,2,0.000008800,0.007175
Instances/Instances 1/a280_09.gt,279,100.0,86400.0,PTVRP_LINEAR,111289.0,2,0.000008300,0.009052
Instances/Instances 1/a280_10.gt,279,100.0,86400.0,PTVRP_LINEAR,108357.0,2,0.000008900,0.007452
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LINEAR,32163901.0,434,0.000378900,0.013349
Instances/Instances 1/ar9152_02.gt,9151,100.0,86400.0,PTVRP_LINEAR,32112270.0,434,0.000397000,0.013289
Instances/Instances 1/ar9152_03.gt,9151,100.0,86400.0,PTVRP_LINEAR,32171369.0,435,0.000386700,0.012824
Instances/Instances 1/ar9152_04.gt,9151,100.0,86400.0,PTVRP_LINEAR,32269593.0,436,0.000409200,0.012264
Instances/Instances 1/ar9152_05.gt,9151,100.0,86400.0,PTVRP_LINEAR,32526821.0,443,0.000382000,0.011541
Instances/Instances 1/ar9152_06.gt,9151,100.0,86400.0,PTVRP_LINEAR,32521367.0,439,0.000389200,0.012894
Instances/Instances 1/ar9152_07.gt,9151,100.0,86400.0,PTVRP_LINEAR,32329338.0,442,0.000388300,0.013193
Instances/Instances 1/ar9152_08.gt,9151,100.0,86400.0,PTVRP_LINEAR,32333642.0,437,0.000399300,0.011778
Instances/Instances 1/ar9152_09.gt,9151,100.0,86400.0,PTVRP_LINEAR,32301728.0,436,0.000415600,0.011322
Instances/Instances 1/ar9152_10.gt,9151,100.0,86400.0,PTVRP_LINEAR,32342724.0,439,0.000396000,0.012043
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LINEAR,85643.0,2,0.000002100,0.006115
Instances/Instances 1/berlin52_02.gt,51,100.0,86400.0,PTVRP_LINEAR,84135.0,2,0.000001900,0.00619
Instances/Instances 1/berlin52_03.gt,51,100.0,86400.0,PTVRP_LINEAR,80607.0,2,0.000001800,0.004724
Instances/Instances 1/berlin52_04.gt,51,100.0,86400.0,PTVRP_LINEAR,84552.0,2,0.000002500,0.005922
Instances/Instances 1/berlin52_05.gt,51,100.0,86400.0,PTVRP_LINEAR,73215.0,2,0.000002000,0.006307
Instances/Instances 1/berlin52_06.gt,51,100.0,86400.0,PTVRP_LINEAR,86035.0,2,0.000001800,0.005541
Instances/Instances 1/berlin52_07.gt,51,100.0,86400.0,PTVRP_LINEAR,79224.0,2,0.000002000,0.007542
Instances/Instances 1/berlin52_08.gt,51,100.0,86400.0,PTVRP_LINEAR,85060.0,2,0.000002100,0.008834
Instances/Instances 1/berlin52_09.gt,51,100.0,86400.0,PTVRP_LINEAR,74478.0,2,0.000002600,0.008153
Instances/Instances 1/berlin52_10.gt,51,100.0,86400.0,PTVRP_LINEAR,73215.0,2,0.000002200,0.006488
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_LINEAR,544599.0,10,0.000005400,0.008199
Instances/Instances 1/bier127_02.gt,126,100.0,86400.0,PTVRP_LINEAR,582371.0,10,0.000005800,0.006041
Instances/Instances 1/bier127_03.gt,126,100.0,86400.0,PTVRP_LINEAR,524443.0,11,0.000005400,0.007761
Instances/Instances 1/bier127_04.gt,126,100.0,86400.0,PTVRP_LINEAR,571661.0,10,0.000005600,0.007988
Instances/Instances 1/bier127_05.gt,126,100.0,86400.0,PTVRP_LINEAR,570891.0,10,0.000006000,0.008575
