instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,LINEAR,16904.0,85,,0.0029,,,,,,,,,,,,,,,
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,LINEAR,8859.0,37,,0.0025,,,,,,,,,,,,,,,
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,LINEAR,4897.0,15,,0.0023,,,,,,,,,,,,,,,
Instances/Instances 1/a280_04.gt,279,1000.0,86400.0,LINEAR,3722.0,9,,0.0023,,,,,,,,,,,,,,,
Instances/Instances 1/a280_05.gt,279,2000.0,86400.0,LINEAR,3176.0,4,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/a280_06.gt,279,5000.0,86400.0,LINEAR,2855.0,2,,0.0023,,,,,,,,,,,,,,,
Instances/Instances 1/a280_07.gt,279,10000.0,86400.0,LINEAR,2835.0,1,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/a280_08.gt,279,20000.0,86400.0,LINEAR,2835.0,1,,0.0023,,,,,,,,,,,,,,,
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,LINEAR,2835.0,1,,0.0023,,,,,,,,,,,,,,,
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,LINEAR,2835.0,1,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,LINEAR,31912937.0,2764,,0.0082,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,LINEAR,15035922.0,1273,,0.0076,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,LINEAR,6228088.0,484,,0.0072,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,LINEAR,3469211.0,240,,0.0078,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,LINEAR,2131437.0,123,,0.0074,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,LINEAR,1329482.0,51,,0.0074,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,LINEAR,1064809.0,27,,0.0074,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,LINEAR,931909.0,13,,0.0072,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,LINEAR,868422.0,6,,0.0073,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,LINEAR,849539.0,4,,0.007,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,LINEAR,14644.0,14,,0.0023,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,LINEAR,11269.0,8,,0.0021,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,LINEAR,8619.0,4,,0.0021,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,LINEAR,7852.0,2,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_05.gt,51,2000.0,86400.0,LINEAR,7803.0,1,,0.0021,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_06.gt,51,5000.0,86400.0,LINEAR,7803.0,1,,0.0023,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_07.gt,51,10000.0,86400.0,LINEAR,7803.0,1,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_08.gt,51,20000.0,86400.0,LINEAR,7803.0,1,,0.0021,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_09.gt,51,50000.0,86400.0,LINEAR,7803.0,1,,0.0021,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_10.gt,51,100000.0,86400.0,LINEAR,7803.0,1,,0.0021,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,LINEAR,329050.0,37,,0.0023,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_02.gt,126,200.0,86400.0,LINEAR,214093.0,20,,0.0021,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_03.gt,126,500.0,86400.0,LINEAR,147478.0,8,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_04.gt,126,1000.0,86400.0,LINEAR,129773.0,4,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_05.gt,126,2000.0,86400.0,LINEAR,122165.0,3,,0.0021,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_06.gt,126,5000.0,86400.0,LINEAR,119686.0,1,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_07.gt,126,10000.0,86400.0,LINEAR,119686.0,1,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_08.gt,126,20000.0,86400.0,LINEAR,119686.0,1,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_09.gt,126,50000.0,86400.0,LINEAR,119686.0,1,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_10.gt,126,100000.0,86400.0,LINEAR,119686.0,1,,0.0021,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,LINEAR,61484741.0,10185,,0.0233,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_02.gt,33707,200.0,86400.0,LINEAR,28670669.0,4673,,0.0223,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_03.gt,33707,500.0,86400.0,LINEAR,11526529.0,1780,,0.023,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_04.gt,33707,1000.0,86400.0,LINEAR,6132031.0,878,,0.0227,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_05.gt,33707,2000.0,86400.0,LINEAR,3523882.0,437,,0.0232,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_06.gt,33707,5000.0,86400.0,LINEAR,1962016.0,178,,0.0225,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_07.gt,33707,10000.0,86400.0,LINEAR,1448460.0,90,,0.0219,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_08.gt,33707,20000.0,86400.0,LINEAR,1194002.0,47,,0.0222,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_09.gt,33707,50000.0,86400.0,LINEAR,1051830.0,20,,0.0227,,,,,,,,,,,,,,,
Instances/Instances 1/bm33708_10.gt,33707,100000.0,86400.0,LINEAR,1007046.0,10,,0.0228,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,LINEAR,18978100.0,4251,,0.0106,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_02.gt,14050,200.0,86400.0,LINEAR,8843245.0,1938,,0.0098,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_03.gt,14050,500.0,86400.0,LINEAR,3651170.0,742,,0.0095,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_04.gt,14050,1000.0,86400.0,LINEAR,2040540.0,368,,0.0095,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_05.gt,14050,2000.0,86400.0,LINEAR,1236617.0,184,,0.0094,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_06.gt,14050,5000.0,86400.0,LINEAR,768899.0,76,,0.0092,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_07.gt,14050,10000.0,86400.0,LINEAR,613871.0,40,,0.0094,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_08.gt,14050,20000.0,86400.0,LINEAR,535568.0,20,,0.0098,,,,,,,,,,,,,,,
Instances/Instances 1/brd14051_09.gt,14050,50000.0,86400.0,LINEAR,494413.0,9,,0.0098,,,,,,,,,,,,,,,
