instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP,16387.0,72,2,0.0068,,,,,,,,,,,,,,,
Instances/Instances 1/a280_02.gt,279,100.0,86400.0,PTVRP,15996.0,69,2,0.0072,,,,,,,,,,,,,,,
Instances/Instances 1/a280_03.gt,279,100.0,86400.0,PTVRP,15828.0,68,3,0.0069,,,,,,,,,,,,,,,
Instances/Instances 1/a280_04.gt,279,100.0,86400.0,PTVRP,16430.0,71,2,0.0067,,,,,,,,,,,,,,,
Instances/Instances 1/a280_05.gt,279,100.0,86400.0,PTVRP,16174.0,71,2,0.0068,,,,,,,,,,,,,,,
Instances/Instances 1/a280_06.gt,279,100.0,86400.0,PTVRP,16174.0,68,3,0.007,,,,,,,,,,,,,,,
Instances/Instances 1/a280_07.gt,279,100.0,86400.0,PTVRP,17114.0,75,2,0.0072,,,,,,,,,,,,,,,
Instances/Instances 1/a280_08.gt,279,100.0,86400.0,PTVRP,16331.0,69,2,0.0071,,,,,,,,,,,,,,,
Instances/Instances 1/a280_09.gt,279,100.0,86400.0,PTVRP,15846.0,69,2,0.0067,,,,,,,,,,,,,,,
Instances/Instances 1/a280_10.gt,279,100.0,86400.0,PTVRP,15869.0,64,3,0.0065,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP,28717346.0,1467,5,0.0176,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_02.gt,9151,100.0,86400.0,PTVRP,28610771.0,1450,7,0.0156,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_03.gt,9151,100.0,86400.0,PTVRP,28715905.0,1460,7,0.0173,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_04.gt,9151,100.0,86400.0,PTVRP,28834320.0,1442,7,0.0176,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_05.gt,9151,100.0,86400.0,PTVRP,29179466.0,1455,7,0.0162,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_06.gt,9151,100.0,86400.0,PTVRP,29046577.0,1490,6,0.0197,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_07.gt,9151,100.0,86400.0,PTVRP,28992613.0,1443,7,0.0171,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_08.gt,9151,100.0,86400.0,PTVRP,28721995.0,1452,7,0.0166,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_09.gt,9151,100.0,86400.0,PTVRP,28835482.0,1476,7,0.018,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_10.gt,9151,100.0,86400.0,PTVRP,28950660.0,1473,6,0.018,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP,14644.0,14,1,0.005,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_02.gt,51,100.0,86400.0,PTVRP,15833.0,17,1,0.0045,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_03.gt,51,100.0,86400.0,PTVRP,16839.0,17,1,0.0054,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_04.gt,51,100.0,86400.0,PTVRP,16777.0,18,1,0.0062,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_05.gt,51,100.0,86400.0,PTVRP,17449.0,18,1,0.0063,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_06.gt,51,100.0,86400.0,PTVRP,15836.0,15,1,0.0064,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_07.gt,51,100.0,86400.0,PTVRP,18006.0,17,1,0.0064,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_08.gt,51,100.0,86400.0,PTVRP,14796.0,14,1,0.007,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_09.gt,51,100.0,86400.0,PTVRP,16939.0,16,1,0.0065,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_10.gt,51,100.0,86400.0,PTVRP,16741.0,17,1,0.007,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP,328886.0,35,2,0.0068,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_02.gt,126,100.0,86400.0,PTVRP,346606.0,41,2,0.0108,,,,,,,,,,,,,,,
Instances/Instances 1/bier127_03.gt,126,100.0,86400.0,PTVRP,325803.0,38,2,0.0086,,,,,,,,,,,,,,,
