instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16387.0,72,2,0.0066,,,,,,0,,0,,,,,34840,34364,
Instances/Instances 1/a280_02.gt,279,100.0,86400.0,PTVRP_CONT_FIX,15996.0,69,2,0.0074,,,,,,0,,0,,,,,35259,34820,
Instances/Instances 1/a280_03.gt,279,100.0,86400.0,PTVRP_CONT_FIX,15828.0,68,3,0.007,,,,,,0,,0,,,,,35126,34687,
Instances/Instances 1/a280_04.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16430.0,71,2,0.0075,,,,,,0,,0,,,,,34942,34528,
Instances/Instances 1/a280_05.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16174.0,71,2,0.0068,,,,,,0,,0,,,,,34998,34551,
Instances/Instances 1/a280_06.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16174.0,68,3,0.0074,,,,,,0,,0,,,,,34980,34567,
Instances/Instances 1/a280_07.gt,279,100.0,86400.0,PTVRP_CONT_FIX,17114.0,75,2,0.007,,,,,,0,,0,,,,,34715,34240,
Instances/Instances 1/a280_08.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16331.0,69,2,0.0071,,,,,,0,,0,,,,,34751,34281,
Instances/Instances 1/a280_09.gt,279,100.0,86400.0,PTVRP_CONT_FIX,15846.0,69,2,0.0067,,,,,,0,,0,,,,,35210,34794,
Instances/Instances 1/a280_10.gt,279,100.0,86400.0,PTVRP_CONT_FIX,15869.0,64,3,0.0064,,,,,,0,,0,,,,,35198,34783,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28717346.0,1467,5,0.0202,,,,,,0,,0,,,,,377089,262589,
Instances/Instances 1/ar9152_02.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28610771.0,1450,7,0.0176,,,,,,0,,0,,,,,376448,261705,
Instances/Instances 1/ar9152_03.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28715905.0,1460,7,0.0196,,,,,,0,,0,,,,,377047,262745,
Instances/Instances 1/ar9152_04.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,28834320.0,1442,7,0.019,,,,,,0,,0,,,,,376862,262432,
Instances/Instances 1/ar9152_05.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,29179466.0,1455,7,0.0182,,,,,,0,,0,,,,,375890,262174,
Instances/Instances 1/ar9152_06.gt,9151,100.0,86400.0,PTVRP_CONT_FIX,29046577.0,1490,6,0.0194,,,,,,0,,0,,,,,375452,261921,
