instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED,16387.0,72,2,0.0064,72,48,3,8981,32.19,,,,,,,,,,
Instances/Instances 1/a280_02.gt,279,100.0,86400.0,PTVRP_LAYERED,15996.0,69,2,0.0068,68,47,3,8752,31.3692,,,,,,,,,,
Instances/Instances 1/a280_03.gt,279,100.0,86400.0,PTVRP_LAYERED,15828.0,68,3,0.0068,70,48,3,9031,32.3692,,,,,,,,,,
Instances/Instances 1/a280_04.gt,279,100.0,86400.0,PTVRP_LAYERED,16430.0,73,2,0.0066,72,48,3,8847,31.7097,,,,,,,,,,
Instances/Instances 1/a280_05.gt,279,100.0,86400.0,PTVRP_LAYERED,16174.0,71,2,0.0077,71,48,3,8903,31.9104,,,,,,,,,,
Instances/Instances 1/a280_06.gt,279,100.0,86400.0,PTVRP_LAYERED,16174.0,68,3,0.0066,71,47,3,9007,32.2832,,,,,,,,,,
Instances/Instances 1/a280_07.gt,279,100.0,86400.0,PTVRP_LAYERED,17114.0,73,2,0.0068,75,49,2,9099,32.6129,,,,,,,,,,
Instances/Instances 1/a280_08.gt,279,100.0,86400.0,PTVRP_LAYERED,16331.0,69,2,0.0073,72,49,3,9002,32.2652,,,,,,,,,,
Instances/Instances 1/a280_09.gt,279,100.0,86400.0,PTVRP_LAYERED,15846.0,69,2,0.0067,70,48,3,8736,31.3118,,,,,,,,,,
Instances/Instances 1/a280_10.gt,279,100.0,86400.0,PTVRP_LAYERED,15869.0,64,3,0.0067,68,48,3,8792,31.5125,,,,,,,,,,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED,28717346.0,1467,5,0.0186,2331,18,7,66003,7.21265,,,,,,,,,,
Instances/Instances 1/ar9152_02.gt,9151,100.0,86400.0,PTVRP_LAYERED,28610771.0,1450,7,0.0171,2331,17,7,66094,7.2226,,,,,,,,,,
Instances/Instances 1/ar9152_03.gt,9151,100.0,86400.0,PTVRP_LAYERED,28715905.0,1460,7,0.0178,2328,17,7,65975,7.20959,,,,,,,,,,
Instances/Instances 1/ar9152_04.gt,9151,100.0,86400.0,PTVRP_LAYERED,28834320.0,1442,7,0.0167,2329,17,7,65999,7.21222,,,,,,,,,,
Instances/Instances 1/ar9152_05.gt,9151,100.0,86400.0,PTVRP_LAYERED,29179466.0,1456,7,0.0158,2347,17,8,65974,7.20949,,,,,,,,,,
Instances/Instances 1/ar9152_06.gt,9151,100.0,86400.0,PTVRP_LAYERED,29046577.0,1490,6,0.0162,2347,18,7,66004,7.21276,,,,,,,,,,
Instances/Instances 1/ar9152_07.gt,9151,100.0,86400.0,PTVRP_LAYERED,28992613.0,1443,7,0.0171,2340,18,7,65905,7.20195,,,,,,,,,,
Instances/Instances 1/ar9152_08.gt,9151,100.0,86400.0,PTVRP_LAYERED,28721995.0,1452,7,0.0164,2332,18,7,66041,7.21681,,,,,,,,,,
Instances/Instances 1/ar9152_09.gt,9151,100.0,86400.0,PTVRP_LAYERED,28835482.0,1476,7,0.0161,2352,18,7,66205,7.23473,,,,,,,,,,
Instances/Instances 1/ar9152_10.gt,9151,100.0,86400.0,PTVRP_LAYERED,28950660.0,1473,6,0.0159,2334,17,7,65993,7.21156,,,,,,,,,,
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED,14644.0,14,1,0.005,12,11,1,343,6.72549,,,,,,,,,,
Instances/Instances 1/berlin52_02.gt,51,100.0,86400.0,PTVRP_LAYERED,15833.0,17,1,0.0045,14,11,2,366,7.17647,,,,,,,,,,
Instances/Instances 1/berlin52_03.gt,51,100.0,86400.0,PTVRP_LAYERED,16839.0,17,1,0.006,15,12,1,362,7.09804,,,,,,,,,,
