instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED_CONT,16387.0,72,2,0.0037,72,72,3,10218,36.6237,,0,0,1290,0,,,,,
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_LAYERED_CONT,8816.0,36,2,0.0029,34,34,2,4991,17.8889,,0,0,8,0,,,,,
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,PTVRP_LAYERED_CONT,4897.0,15,1,0.0026,14,14,1,2159,7.73835,,0,0,0,0,,,,,
Instances/Instances 1/a280_04.gt,279,1000.0,86400.0,PTVRP_LAYERED_CONT,3722.0,9,1,0.0026,8,8,1,1129,4.04659,,0,0,0,0,,,,,
Instances/Instances 1/a280_05.gt,279,2000.0,86400.0,PTVRP_LAYERED_CONT,3176.0,4,1,0.0024,4,4,1,647,2.319,,0,0,0,0,,,,,
Instances/Instances 1/a280_06.gt,279,5000.0,86400.0,PTVRP_LAYERED_CONT,2855.0,2,1,0.0026,2,2,1,368,1.319,,0,0,0,0,,,,,
Instances/Instances 1/a280_07.gt,279,10000.0,86400.0,PTVRP_LAYERED_CONT,2835.0,1,1,0.0024,1,1,1,279,1.0,,0,0,0,0,,,,,
Instances/Instances 1/a280_08.gt,279,20000.0,86400.0,PTVRP_LAYERED_CONT,2835.0,1,1,0.0025,1,1,1,279,1.0,,0,0,0,0,,,,,
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,PTVRP_LAYERED_CONT,2835.0,1,1,0.0029,1,1,1,279,1.0,,0,0,0,0,,,,,
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_LAYERED_CONT,2835.0,1,1,0.0024,1,1,1,279,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED_CONT,28717346.0,1467,5,0.545,2331,2331,7,10559712,1153.94,,0,0,16294075,0,,,,,
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_LAYERED_CONT,14570814.0,978,5,0.2833,1166,1166,6,5329445,582.389,,0,0,9130241,0,,,,,
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_LAYERED_CONT,6223523.0,476,2,0.1216,466,466,3,2131767,232.955,,0,0,3796538,0,,,,,
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_LAYERED_CONT,3468503.0,239,2,0.067,233,233,2,1075076,117.482,,0,0,1974654,0,,,,,
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_LAYERED_CONT,2131437.0,123,1,0.0388,118,118,1,539131,58.915,,0,0,1045718,0,,,,,
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_LAYERED_CONT,1329482.0,51,1,0.0209,47,47,1,218988,23.9305,,0,0,436095,0,,,,,
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_LAYERED_CONT,1090437.0,27,1,0.0149,24,24,1,111913,12.2296,,0,0,264217,0,,,,,
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_LAYERED_CONT,986552.0,15,1,0.0121,12,12,1,58215,6.3616,,0,0,235182,0,,,,,
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_LAYERED_CONT,970633.0,13,1,0.0108,5,5,1,26352,2.87969,,0,0,624540,0,,,,,
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_LAYERED_CONT,970633.0,13,1,0.0122,3,3,1,15743,1.72036,,0,0,1258358,0,,,,,
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED_CONT,14644.0,14,1,0.0027,12,12,1,346,6.78431,,0,0,6,0,,,,,
