instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,16387.0,72,2,0.0034,72,49,3,9114,32.6667,,0,0,138,0,,,,,
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,8816.0,36,2,0.0032,34,33,2,4983,17.8602,,0,0,0,0,,,,,
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,4897.0,15,1,0.0026,14,14,1,2159,7.73835,,0,0,0,0,,,,,
Instances/Instances 1/a280_04.gt,279,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,3722.0,9,1,0.0025,8,8,1,1129,4.04659,,0,0,0,0,,,,,
Instances/Instances 1/a280_05.gt,279,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,3176.0,4,1,0.0023,4,4,1,647,2.319,,0,0,0,0,,,,,
Instances/Instances 1/a280_06.gt,279,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2855.0,2,1,0.0023,2,2,1,368,1.319,,0,0,0,0,,,,,
Instances/Instances 1/a280_07.gt,279,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2835.0,1,1,0.0023,1,1,1,279,1.0,,0,0,0,0,,,,,
Instances/Instances 1/a280_08.gt,279,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2835.0,1,1,0.0023,1,1,1,279,1.0,,0,0,0,0,,,,,
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2835.0,1,1,0.0024,1,1,1,279,1.0,,0,0,0,0,,,,,
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2835.0,1,1,0.0024,1,1,1,279,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,28717346.0,1467,5,0.0216,2331,22,7,95544,10.4408,,0,0,89403,0,,,,,
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,14570814.0,978,5,0.0179,1166,15,6,76122,8.31844,,0,0,96448,0,,,,,
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,6223523.0,476,2,0.0139,466,10,3,53919,5.89214,,0,0,80094,0,,,,,
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,3468503.0,239,2,0.0125,233,7,2,40490,4.42465,,0,0,56245,0,,,,,
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2131437.0,123,1,0.0106,118,5,1,29585,3.23298,,0,0,41757,0,,,,,
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1329482.0,51,1,0.0092,47,3,1,19246,2.10316,,0,0,13602,0,,,,,
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1090437.0,27,1,0.0089,24,2,1,15008,1.64004,,0,0,20323,0,,,,,
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,986552.0,15,1,0.0081,12,1,1,9151,1.0,,0,0,17616,0,,,,,
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,970633.0,13,1,0.0082,5,1,1,9151,1.0,,0,0,31982,0,,,,,
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,970633.0,13,1,0.0083,3,1,1,9151,1.0,,0,0,31982,0,,,,,
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,14644.0,14,1,0.0023,12,11,1,343,6.72549,,0,0,0,0,,,,,
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,11269.0,8,1,0.0022,7,7,1,204,4.0,,0,0,0,0,,,,,
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,8619.0,4,1,0.0021,3,3,1,95,1.86275,,0,0,0,0,,,,,
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7852.0,2,1,0.0021,2,2,1,67,1.31373,,0,0,0,0,,,,,
Instances/Instances 1/berlin52_05.gt,51,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0021,1,1,1,51,1.0,,0,0,0,0,,,,,
Instances/Instances 1/berlin52_06.gt,51,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0031,1,1,1,51,1.0,,0,0,0,0,,,,,
Instances/Instances 1/berlin52_07.gt,51,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0023,1,1,1,51,1.0,,0,0,0,0,,,,,
Instances/Instances 1/berlin52_08.gt,51,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0022,1,1,1,51,1.0,,0,0,0,0,,,,,
Instances/Instances 1/berlin52_09.gt,51,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0024,1,1,1,51,1.0,,0,0,0,0,,,,,
Instances/Instances 1/berlin52_10.gt,51,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7803.0,1,1,0.0023,1,1,1,51,1.0,,0,0,0,0,,,,,
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,328886.0,35,2,0.0024,31,7,2,557,4.42063,,0,0,89,0,,,,,
Instances/Instances 1/bier127_02.gt,126,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,214093.0,20,1,0.0025,18,5,1,387,3.07143,,0,0,36,0,,,,,
Instances/Instances 1/bier127_03.gt,126,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,147478.0,8,1,0.0024,7,3,1,252,2.0,,0,0,59,0,,,,,
Instances/Instances 1/bier127_04.gt,126,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,129773.0,4,1,0.0023,4,2,1,155,1.23016,,0,0,15,0,,,,,
Instances/Instances 1/bier127_05.gt,126,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,126048.0,2,1,0.0022,2,1,1,126,1.0,,0,0,86,0,,,,,
Instances/Instances 1/bier127_06.gt,126,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,126048.0,2,1,0.0025,1,1,1,126,1.0,,0,0,86,0,,,,,
Instances/Instances 1/bier127_07.gt,126,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,126048.0,2,1,0.0024,1,1,1,126,1.0,,0,0,86,0,,,,,
Instances/Instances 1/bier127_08.gt,126,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,126048.0,2,1,0.0023,1,1,1,126,1.0,,0,0,86,0,,,,,
Instances/Instances 1/bier127_09.gt,126,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,126048.0,2,1,0.0023,1,1,1,126,1.0,,0,0,86,0,,,,,
Instances/Instances 1/bier127_10.gt,126,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,126048.0,2,1,0.0022,1,1,1,126,1.0,,0,0,86,0,,,,,
Instances/Instances 1/bm33708_01.gt,33707,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,54311911.0,4710,7,0.0904,8589,32,9,616639,18.2941,,1,0,525803,0,,,,,
Instances/Instances 1/bm33708_02.gt,33707,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,27566313.0,3312,4,0.0777,4289,23,6,487873,14.4739,,1,0,544915,0,,,,,
Instances/Instances 1/bm33708_03.gt,33707,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,11486555.0,1720,2,0.0596,1719,14,4,343906,10.2028,,0,0,369131,0,,,,,
Instances/Instances 1/bm33708_04.gt,33707,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6132031.0,878,1,0.0483,858,10,3,257359,7.63518,,0,0,206704,0,,,,,
Instances/Instances 1/bm33708_05.gt,33707,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,3523882.0,437,1,0.0409,429,7,3,189070,5.60922,,0,0,111970,0,,,,,
Instances/Instances 1/bm33708_06.gt,33707,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1962016.0,178,1,0.0346,172,4,2,125154,3.713,,0,0,48035,0,,,,,
Instances/Instances 1/bm33708_07.gt,33707,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1448460.0,90,1,0.0311,87,3,1,92824,2.75385,,0,0,16054,0,,,,,
Instances/Instances 1/bm33708_08.gt,33707,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1194002.0,47,1,0.03,44,2,1,66639,1.97701,,0,0,6833,0,,,,,
Instances/Instances 1/bm33708_09.gt,33707,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1051830.0,20,1,0.0247,18,1,1,33707,1.0,,0,0,0,0,,,,,
Instances/Instances 1/bm33708_10.gt,33707,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1025973.0,15,1,0.0283,9,1,1,33707,1.0,,0,0,138009,0,,,,,
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,16950869.0,2180,6,0.0389,3577,30,7,268092,19.0813,,0,0,173624,0,,,,,
Instances/Instances 1/brd14051_02.gt,14050,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,8596446.0,1486,4,0.0334,1777,22,6,205848,14.6511,,0,0,151613,0,,,,,
Instances/Instances 1/brd14051_03.gt,14050,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,3646827.0,737,2,0.0243,715,15,3,140425,9.99466,,0,0,78307,0,,,,,
Instances/Instances 1/brd14051_04.gt,14050,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2040540.0,368,1,0.0199,358,10,2,103547,7.36989,,0,0,43381,0,,,,,
Instances/Instances 1/brd14051_05.gt,14050,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1236617.0,184,1,0.0168,180,7,1,74978,5.33651,,0,0,25588,0,,,,,
Instances/Instances 1/brd14051_06.gt,14050,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,768899.0,76,1,0.0137,72,4,1,46317,3.29658,,0,0,2387,0,,,,,
Instances/Instances 1/brd14051_07.gt,14050,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,613871.0,40,1,0.0131,36,3,1,33383,2.37601,,0,0,5030,0,,,,,
Instances/Instances 1/brd14051_08.gt,14050,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,535568.0,20,1,0.0128,19,2,1,27341,1.94598,,0,0,0,0,,,,,
Instances/Instances 1/brd14051_09.gt,14050,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,494413.0,9,1,0.0108,8,1,1,14050,1.0,,0,0,0,0,,,,,
Instances/Instances 1/brd14051_10.gt,14050,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,487545.0,7,1,0.0111,4,1,1,14050,1.0,,0,0,24890,0,,,,,
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0063,1182,9,3,16388,3.51523,,0,0,12786,0,,,,,
Instances/Instances 1/ca4663_02.gt,4662,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.006,592,7,3,14590,3.12956,,0,0,19432,0,,,,,
Instances/Instances 1/ca4663_03.gt,4662,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0058,239,5,2,11781,2.52703,,0,0,32114,0,,,,,
Instances/Instances 1/ca4663_04.gt,4662,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0056,119,3,2,9900,2.12355,,0,0,40290,0,,,,,
Instances/Instances 1/ca4663_05.gt,4662,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0057,59,3,2,7751,1.66259,,0,0,31242,0,,,,,
Instances/Instances 1/ca4663_06.gt,4662,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0055,24,2,1,5233,1.12248,,0,0,21036,0,,,,,
Instances/Instances 1/ca4663_07.gt,4662,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0055,12,1,1,4662,1.0,,0,0,83800,0,,,,,
