instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16387.0,72,2,0.0074,72,49,3,9114,32.6667,,0,0,138,0,0,0,,,
Instances/Instances 1/a280_02.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,15996.0,69,2,0.0079,68,48,3,8862,31.7634,,0,0,111,0,0,0,,,
Instances/Instances 1/a280_03.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,15828.0,68,3,0.0067,70,48,3,9156,32.8172,,0,0,131,0,0,0,,,
Instances/Instances 1/a280_04.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16430.0,73,2,0.0076,72,49,3,8958,32.1075,,0,0,117,0,0,0,,,
Instances/Instances 1/a280_05.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16174.0,71,2,0.0073,71,49,3,9012,32.3011,,0,0,123,0,0,0,,,
Instances/Instances 1/a280_06.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16174.0,68,3,0.0072,71,49,3,9132,32.7312,,0,0,130,0,0,0,,,
Instances/Instances 1/a280_07.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,17114.0,73,2,0.0074,75,50,2,9231,33.086,,0,0,140,0,0,0,,,
Instances/Instances 1/a280_08.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,16331.0,69,2,0.0074,72,50,3,9130,32.724,,0,0,137,0,0,0,,,
Instances/Instances 1/a280_09.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,15846.0,69,2,0.0071,70,48,3,8839,31.681,,0,0,107,0,0,0,,,
Instances/Instances 1/a280_10.gt,279,100.0,86400.0,PTVRP_LAYERED_SAFE,15869.0,64,3,0.0071,68,48,3,8900,31.8996,,0,0,113,0,0,0,,,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28717346.0,1467,5,0.0215,2331,22,7,95544,10.4408,,0,0,89403,0,0,0,,,
Instances/Instances 1/ar9152_02.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28610771.0,1450,7,0.0191,2331,21,7,95754,10.4638,,0,0,89807,0,0,0,,,
Instances/Instances 1/ar9152_03.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28715905.0,1460,7,0.0193,2328,22,7,95589,10.4457,,0,0,88823,0,0,0,,,
Instances/Instances 1/ar9152_04.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28834320.0,1442,7,0.0197,2329,21,7,95593,10.4462,,0,0,89486,0,0,0,,,
Instances/Instances 1/ar9152_05.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,29179466.0,1456,7,0.0202,2347,20,8,95583,10.4451,,0,0,88578,0,0,0,,,
Instances/Instances 1/ar9152_06.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,29046577.0,1490,6,0.0197,2347,23,7,95525,10.4387,,0,0,89171,0,0,0,,,
Instances/Instances 1/ar9152_07.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28992613.0,1443,7,0.0194,2340,21,7,95574,10.4441,,0,0,90044,0,0,0,,,
Instances/Instances 1/ar9152_08.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28721995.0,1452,7,0.0188,2332,23,7,95623,10.4495,,0,0,88418,0,0,0,,,
Instances/Instances 1/ar9152_09.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28835482.0,1476,7,0.0191,2352,22,7,95986,10.4891,,0,0,88844,0,0,0,,,
Instances/Instances 1/ar9152_10.gt,9151,100.0,86400.0,PTVRP_LAYERED_SAFE,28950660.0,1473,6,0.0203,2334,21,7,95701,10.458,,0,0,89091,0,0,0,,,
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,14644.0,14,1,0.0056,12,11,1,343,6.72549,,0,0,0,0,0,0,,,
Instances/Instances 1/berlin52_02.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,15833.0,17,1,0.0073,14,12,2,370,7.2549,,0,0,4,0,0,0,,,
Instances/Instances 1/berlin52_03.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,16839.0,17,1,0.0064,15,12,1,363,7.11765,,0,0,1,0,0,0,,,
Instances/Instances 1/berlin52_04.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,16777.0,18,1,0.0067,15,12,1,383,7.5098,,0,0,6,0,0,0,,,
Instances/Instances 1/berlin52_05.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,17449.0,18,1,0.0065,14,12,1,354,6.94118,,0,0,2,0,0,0,,,
Instances/Instances 1/berlin52_06.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,15836.0,15,1,0.0067,13,12,1,350,6.86275,,0,0,1,0,0,0,,,
Instances/Instances 1/berlin52_07.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,18006.0,17,1,0.0071,15,13,1,362,7.09804,,0,0,1,0,0,0,,,
Instances/Instances 1/berlin52_08.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,14796.0,14,1,0.0367,12,11,1,302,5.92157,,0,0,0,0,0,0,,,
Instances/Instances 1/berlin52_09.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,16939.0,16,1,0.0077,14,12,1,364,7.13725,,0,0,9,0,0,0,,,
Instances/Instances 1/berlin52_10.gt,51,100.0,86400.0,PTVRP_LAYERED_SAFE,16741.0,17,1,0.007,14,12,1,373,7.31373,,0,0,10,0,0,0,,,
Instances/Instances 1/bier127_01.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,328886.0,35,2,0.0117,31,7,2,557,4.42063,,0,0,89,0,0,0,,,
Instances/Instances 1/bier127_02.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,346606.0,41,2,0.0074,35,7,2,575,4.56349,,0,0,80,0,0,0,,,
Instances/Instances 1/bier127_03.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,325803.0,38,2,0.0076,34,8,2,596,4.73016,,0,0,88,0,0,0,,,
Instances/Instances 1/bier127_04.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,338897.0,34,2,0.0068,32,7,2,557,4.42063,,0,0,95,0,0,0,,,
Instances/Instances 1/bier127_05.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,328505.0,38,1,0.0073,33,7,2,568,4.50794,,0,0,82,0,0,0,,,
Instances/Instances 1/bier127_06.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,327452.0,38,2,0.0069,33,8,2,575,4.56349,,0,0,87,0,0,0,,,
Instances/Instances 1/bier127_07.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,325803.0,37,2,0.0071,31,7,2,559,4.43651,,0,0,76,0,0,0,,,
Instances/Instances 1/bier127_08.gt,126,100.0,86400.0,PTVRP_LAYERED_SAFE,316399.0,36,1,0.0072,31,7,2,568,4.50794,,0,0,102,0,0,0,,,
