instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LINEAR,114076.0,2,47,0.0063,,,,,,,,,,,,,,,
Instances/Instances 1/a280_02.gt,279,100.0,86400.0,PTVRP_LINEAR,109227.0,2,46,0.0064,,,,,,,,,,,,,,,
Instances/Instances 1/a280_03.gt,279,100.0,86400.0,PTVRP_LINEAR,110045.0,2,45,0.0074,,,,,,,,,,,,,,,
Instances/Instances 1/a280_04.gt,279,100.0,86400.0,PTVRP_LINEAR,113084.0,2,46,0.0062,,,,,,,,,,,,,,,
Instances/Instances 1/a280_05.gt,279,100.0,86400.0,PTVRP_LINEAR,111826.0,2,46,0.007,,,,,,,,,,,,,,,
Instances/Instances 1/a280_06.gt,279,100.0,86400.0,PTVRP_LINEAR,111233.0,2,46,0.0061,,,,,,,,,,,,,,,
Instances/Instances 1/a280_07.gt,279,100.0,86400.0,PTVRP_LINEAR,117517.0,2,47,0.0063,,,,,,,,,,,,,,,
Instances/Instances 1/a280_08.gt,279,100.0,86400.0,PTVRP_LINEAR,113266.0,2,46,0.0064,,,,,,,,,,,,,,,
Instances/Instances 1/a280_09.gt,279,100.0,86400.0,PTVRP_LINEAR,111289.0,2,46,0.0064,,,,,,,,,,,,,,,
Instances/Instances 1/a280_10.gt,279,100.0,86400.0,PTVRP_LINEAR,108357.0,2,45,0.0062,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_LINEAR,32163901.0,434,16,0.0131,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_02.gt,9151,100.0,86400.0,PTVRP_LINEAR,32112270.0,434,16,0.0148,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_03.gt,9151,100.0,86400.0,PTVRP_LINEAR,32171369.0,435,14,0.0138,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_04.gt,9151,100.0,86400.0,PTVRP_LINEAR,32269593.0,436,16,0.013,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_05.gt,9151,100.0,86400.0,PTVRP_LINEAR,32526821.0,443,15,0.0132,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_06.gt,9151,100.0,86400.0,PTVRP_LINEAR,32521367.0,439,17,0.0122,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_07.gt,9151,100.0,86400.0,PTVRP_LINEAR,32329338.0,442,15,0.011,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_08.gt,9151,100.0,86400.0,PTVRP_LINEAR,32333642.0,437,15,0.0132,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_09.gt,9151,100.0,86400.0,PTVRP_LINEAR,32301728.0,436,17,0.0173,,,,,,,,,,,,,,,
Instances/Instances 1/ar9152_10.gt,9151,100.0,86400.0,PTVRP_LINEAR,32342724.0,439,16,0.0138,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_LINEAR,85643.0,2,11,0.0047,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_02.gt,51,100.0,86400.0,PTVRP_LINEAR,84135.0,2,11,0.0059,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_03.gt,51,100.0,86400.0,PTVRP_LINEAR,80607.0,2,12,0.0046,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_04.gt,51,100.0,86400.0,PTVRP_LINEAR,84552.0,2,12,0.0052,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_05.gt,51,100.0,86400.0,PTVRP_LINEAR,73215.0,2,11,0.005,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_06.gt,51,100.0,86400.0,PTVRP_LINEAR,86035.0,2,11,0.005,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_07.gt,51,100.0,86400.0,PTVRP_LINEAR,79224.0,2,12,0.0066,,,,,,,,,,,,,,,
Instances/Instances 1/berlin52_08.gt,51,100.0,86400.0,PTVRP_LINEAR,85060.0,2,11,0.0044,,,,,,,,,,,,,,,
