instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP,16387.0,72,2,0.0025,,,,,,,,,,,
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_CONT,16387.0,72,2,0.0023,,,,,,0,,0,,,0.0
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_CONT_FIX,16387.0,72,2,0.0023,,,,,,0,,0,,,0.0
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED,16387.0,72,2,0.0023,72,48,3,8981,32.19,,,,,,0.0
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,16387.0,72,2,0.0022,72,49,3,9114,32.6667,,0,0,138,0,0.0
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP,8816.0,36,2,0.0022,,,,,,,,,,,
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_CONT,8816.0,36,2,0.0021,,,,,,0,,0,,,0.0
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_CONT_FIX,8816.0,36,2,0.0023,,,,,,0,,0,,,0.0
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_LAYERED,8816.0,36,2,0.0021,34,33,2,4983,17.8602,,,,,,0.0
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,8816.0,36,2,0.002,34,33,2,4983,17.8602,,0,0,0,0,0.0
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,PTVRP,4897.0,15,1,0.0019,,,,,,,,,,,
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,PTVRP_CONT,4897.0,15,1,0.002,,,,,,0,,0,,,0.0
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,PTVRP_CONT_FIX,4897.0,15,1,0.0019,,,,,,0,,0,,,0.0
